filename,release date
math121Notes_1p1_annotated.pdf,2026-01-14T14:00:00
math121Notes_1p3_annotated.pdf,2026-01-21T14:00:00
math121Notes_1p4_annotated.pdf,2026-01-23T14:00:00
math121Notes_1p5_annotated.pdf,2026-01-27T14:00:00
math121Notes_1p6_annotated.pdf,2026-01-30T14:00:00
math121Notes_4p1_annotated.pdf,2026-02-11T14:00:00
math121Notes_4p2_annotated.pdf,2026-02-17T14:00:00
math121Notes_5p1_annotated.pdf,2026-02-24T14:00:00
math121Notes_5p2_annotated.pdf,2026-03-10T14:00:00
math121Notes_5p3_annotated.pdf,2026-03-11T14:00:00
math121Notes_6p1_annotated.pdf,2026-03-19T14:00:00
math121Notes_6p2_annotated.pdf,2026-03-24T14:00:00
math121Notes_6p3_annotated.pdf,2026-03-31T14:00:00
math121Notes_6p4_annotated.pdf,
math121Notes_6p5_annotated.pdf,2026-04-01T14:00:00
math121Notes_2p1_annotated.pdf,2026-04-16T14:00:00
math121Notes_2p2_annotated.pdf,2026-04-16T14:00:00
math121Notes_2p3_annotated.pdf,2026-04-22T14:00:00
