filename,release date
math125Notes_01p1_annotated.pdf,2026-01-14T12:00:00
math125Notes_01p2_annotated.pdf,2026-01-16T12:00:00
math125Notes_01p3_annotated.pdf,2026-01-21T12:00:00
math125Notes_02p1_annotated.pdf,2026-01-23T12:00:00
math125Notes_02p2_annotated.pdf,2026-01-26T12:00:00
math125Notes_02p5_annotated.pdf,2026-01-28T12:00:00
math125Notes_03p1_annotated.pdf,2026-01-30T12:00:00
math125Notes_03p2_annotated.pdf,2026-02-04T12:00:00
math125Notes_06p1_annotated.pdf,2026-02-06T12:00:00
math125Notes_06p4_annotated.pdf,2026-02-09T12:00:00
math125Notes_08p1_annotated.pdf,2026-02-11T12:00:00
math125Notes_08p2_annotated.pdf,2026-02-13T12:00:00
math125Notes_08p3_annotated.pdf,2026-02-16T12:00:00
math125Notes_08p4_annotated.pdf,2026-02-18T12:00:00
math125Notes_08p5_annotated.pdf,2026-02-23T12:00:00
math125Notes_01p4_annotated.pdf,2026-02-25T12:00:00
math125Notes_04p9_annotated.pdf,2026-02-27T12:00:00
math125Notes_10p1_annotated.pdf,2026-03-09T12:00:00
math125Notes_10p2_annotated.pdf,2026-03-11T12:00:00
math125Notes_10p3_annotated.pdf,2026-03-13T12:00:00
math125Notes_10p4_annotated.pdf,2026-03-16T12:00:00
math125Notes_10p5_annotated.pdf,2026-03-18T12:00:00
math125Notes_10p6_annotated.pdf,2026-03-23T12:00:00
math125Notes_07p1_annotated.pdf,2026-03-25T12:00:00
math125Notes_07p2_annotated.pdf,2026-03-27T12:00:00
math125Notes_07p3_annotated.pdf,2026-03-30T12:00:00
math125Notes_05p1_annotated.pdf,2026-04-01T12:00:00
math125Notes_05p6_annotated.pdf,2026-04-03T12:00:00
math125Notes_05p7_annotated.pdf,2026-04-06T12:00:00
math125Notes_09p1_annotated.pdf,2026-04-08T12:00:00
math125Notes_11p2_annotated.pdf,2026-04-10T12:00:00
