filename,release date
math211Notes_1p1_annotated.pdf,2026-08-20T14:30:00
math211Notes_1p2_1p4_1p5_annotated.pdf,2026-08-25T14:30:00
math211Notes_2p1_2p2_2p3_annotated.pdf,2026-09-01T14:30:00
math211Notes_2p4_2p5_annotated.pdf,2026-09-01T14:30:00
math211Notes_3p1_annotated.pdf,2026-09-08T14:30:00
math211Notes_3p2_3p3_annotated.pdf,2026-09-10T14:30:00
math211Notes_3p4_3p5_annotated.pdf,2026-09-15T14:30:00
math211Notes_4p1_4p2_annotated.pdf,2026-09-24T14:30:00
math211Notes_4p3_4p4_annotated.pdf,2026-09-29T14:30:00
math211Notes_6p1_6p2_annotated.pdf,2026-10-13T14:30:00
math211Notes_7p1_7p2_7p3_annotated.pdf,2026-10-20T14:30:00
math211Notes_7p4_8p1_8p2_annotated.pdf,2026-10-29T14:30:00
math211Notes_8p3_9p1_9p2_annotated.pdf,2026-11-05T14:30:00
math211Notes_9p3_annotated.pdf,2026-11-10T14:30:00
math211Notes_9p4_annotated.pdf,2026-11-12T14:30:00
