x_lin_pos,y_lin_pos,x_lin_neg,y_lin_neg,x_no_trend,y_no_trend,x_quad,y_quad,x_weak_ass,y_weak_ass,x_strong_ass,y_strong_ass,age,mileage
60.0519493876655,313.984120420921,5.22123173221275,56.1506819282784,15.718606578078,16.790243072227,5.01902681258401,8.6980794373996,60.1050047719118,238.599076525344,15.3309057939252,29.4793154799432,0,800
60.1492798972416,321.234150904264,5.34669490932265,61.2201908322186,16.9592011791144,55.1902060044668,5.04061183226511,9.53475425756686,60.1876201495282,336.818741593779,15.5439969013576,29.3899909544261,1,13766
60.1699230878004,308.798873788899,6.04771218715709,52.3610194404891,17.2044907631563,-2.56098182480059,5.07766334944922,9.90983405016761,60.2446024893531,311.751856428886,15.5805389375157,29.4869625842533,1,12300
60.2082962975225,311.074965402795,6.19843010830124,46.4486523761353,17.2647333434126,-74.624049793974,5.15351296734258,10.3300072079798,60.3035894364474,361.785049278852,15.6350898078666,30.3801802073286,1,13270
60.3621261354748,306.796915069211,6.25644033393409,47.0122285610105,17.3292679702305,46.1427828787621,5.31137126520596,7.77184220406294,60.3917510002138,371.435437288178,15.8366720697576,35.0739306607048,2,26300
61.0743940994437,313.403843598573,6.33830477564132,50.0000005991974,17.4882773841355,73.2213944503644,5.31537221403912,8.31986768616819,60.4717980533589,229.057114531294,16.8621736099417,33.4733355616698,2,33250
61.2783139252913,301.506548337756,6.90962039594197,45.1449933005499,18.4358649373636,-55.1582148237085,5.33512161650356,7.52208108699462,60.7431994927934,320.016884529461,17.6190304707809,36.9569092613004,2,7200
61.3727791929993,327.28855643299,7.04145301290963,55.2174764826205,19.181237520972,-1.07578747537201,5.50498447759685,7.35192261560151,61.2868780857356,342.443845211083,20.0826746375491,42.2820829231391,2,50000
61.3928782101849,308.523287539354,7.07343961945029,46.8464041643939,20.427161355157,-51.3484565924021,5.52230895102591,8.49221071823756,61.3438393191358,270.995066407364,20.2594959581841,43.6779649364396,3,29400
61.7783292754917,294.471167801937,7.31922449835203,49.7359191105445,20.921372515595,5.74173772187294,5.58248455218725,7.36853137198571,61.62641525796,237.29252001917,21.6136734203441,42.0285855424859,3,43200
61.8049804709372,325.494487435207,7.45504408735599,43.7194368769446,21.828485885367,-69.4544371739098,5.67483032421902,6.95109513466118,62.0454770190168,308.246535468314,22.3285823097454,49.4122228055139,3,19100
61.9470570231464,319.504456694971,7.66815572761403,52.5890974463399,22.0557845277282,38.0300273259916,5.73597324220698,6.32827044939245,62.3640874726149,275.511140006709,22.6480070491264,42.0115173321429,3,29100
62.2443841117408,305.042264557473,7.76149050831546,49.430014372082,22.1848211411346,14.4252468393971,5.78582914431812,5.72409050945198,62.7630148694826,286.566833695762,22.6620718765324,44.8487729929662,3,30000
62.2477980780088,326.058794856372,8.05604798094909,47.4736349207223,22.2195569758213,70.4940168864139,5.80124981979004,7.15332441438319,62.9353877547213,268.022072226721,23.828885797379,48.0002118669367,3,25200
62.4206178124582,310.028027458379,8.21758427708891,52.2346186602367,22.3408417109313,-59.7408669677813,5.83374112942608,5.76753995671658,62.9471125668968,368.662690614126,24.3302698203432,51.7256841987611,3,32000
